system:index,Aerosol Index,date,.geo
20220219T081315_20220219T084655,-0.39281173895658117,2022-02-19T08:13:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220220T075315_20220220T082917,-0.8917457460501687,2022-02-20T07:53:10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220221T073400_20220221T080921,-0.23765552525874215,2022-02-21T07:33:54,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222T071556_20220222T081108,0.36440159558233537,2022-02-22T07:15:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222T085556_20220222T095509,,2022-02-22T08:55:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220223T083657_20220223T093854,0.462101226730527,2022-02-23T08:36:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220223T084157_20220223T094035,,2022-02-23T08:41:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224T081657_20220224T091724,0.28393833827559445,2022-02-24T08:16:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224T082157_20220224T092055,,2022-02-24T08:21:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220225T080157_20220225T090222,-0.25182928895764634,2022-02-25T08:01:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220226T074157_20220226T084356,-0.17858510924019988,2022-02-26T07:41:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220227T072157_20220227T082157,0.18110262733408808,2022-02-27T07:21:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220227T090157_20220227T100628,,2022-02-27T09:01:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228T070657_20220228T075732,,2022-02-28T07:06:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228T084157_20220228T094254,0.8760201874362248,2022-02-28T08:41:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228T084657_20220228T094545,0.8760057002757697,2022-02-28T08:46:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220301T082657_20220301T091715,0.5177969126897384,2022-03-01T08:26:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220302T080657_20220302T090827,-0.08822273738125438,2022-03-02T08:06:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220303T074657_20220303T084655,-0.4607614928128511,2022-03-03T07:46:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220304T072657_20220304T082812,-0.22702676461103125,2022-03-04T07:26:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220304T073157_20220304T083217,-0.20315973856519035,2022-03-04T07:31:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220305T071157_20220305T074412,0.35111191669275443,2022-03-05T07:11:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220305T085157_20220305T092354,0.9026388965595014,2022-03-05T08:51:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220306T083157_20220306T090612,-0.01409397038360576,2022-03-06T08:31:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220307T081157_20220307T084618,-0.1713013534886848,2022-03-07T08:11:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220308T075157_20220308T082913,-1.1058048083320333,2022-03-08T07:51:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220308T075657_20220308T082950,,2022-03-08T07:56:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220310T071521_20220310T075152,0.3011169014420943,2022-03-10T07:15:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220310T085521_20220310T093021,,2022-03-10T08:55:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220311T070021_20220311T073325,,2022-03-11T07:00:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220311T084021_20220311T091259,0.23407475042498008,2022-03-11T08:40:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220312T082021_20220312T085319,-0.35168487952076743,2022-03-12T08:20:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220313T080021_20220313T083530,-0.8510746985770673,2022-03-13T08:00:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220314T074021_20220314T081550,-0.08835965573572038,2022-03-14T07:40:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220315T072021_20220315T075624,,2022-03-15T07:20:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220315T072521_20220315T075659,0.5187360029353449,2022-03-15T07:25:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316T070521_20220316T073820,,2022-03-16T07:05:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316T084521_20220316T091836,1.3137247290579703,2022-03-16T08:45:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220317T082521_20220317T090111,0.894115036984368,2022-03-17T08:25:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220318T080521_20220318T083907,0.25463027061295157,2022-03-18T08:05:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220318T081021_20220318T084118,,2022-03-18T08:10:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220319T074521_20220319T082017,-0.2192477084793862,2022-03-19T07:45:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220319T075021_20220319T082150,-0.21925169904549544,2022-03-19T07:50:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220320T073021_20220320T080348,-0.06951889654404061,2022-03-20T07:30:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220321T071021_20220321T074613,0.4231737821659367,2022-03-21T07:10:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220321T085021_20220321T092441,1.1417280220626747,2022-03-21T08:50:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220322T083021_20220322T090551,0.08449254227464044,2022-03-22T08:30:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220322T083521_20220322T090620,,2022-03-22T08:35:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220323T081021_20220323T084644,-0.11664557496742582,2022-03-23T08:10:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220323T081521_20220323T084742,-0.11667347854148018,2022-03-23T08:15:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220324T075521_20220324T082855,-0.24358093536014164,2022-03-24T07:55:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220325T073521_20220325T080904,0.00602388843416389,2022-03-25T07:35:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220326T071521_20220326T075319,0.6307819244365785,2022-03-26T07:15:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220326T085521_20220326T092910,,2022-03-26T08:55:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220327T070021_20220327T073221,,2022-03-27T07:00:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220327T083521_20220327T091218,0.17265608067458507,2022-03-27T08:35:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220327T084021_20220327T091253,0.23764460900706028,2022-03-27T08:40:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220328T082021_20220328T085528,0.06423322514741309,2022-03-28T08:20:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220329T080021_20220329T083853,-0.389864536800949,2022-03-29T08:00:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220330T074021_20220330T081445,0.07605212969322782,2022-03-30T07:40:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220331T072021_20220331T075641,,2022-03-31T07:20:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220331T072521_20220331T075721,0.4074509754393063,2022-03-31T07:25:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220401T070521_20220401T073828,,2022-04-01T07:05:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220401T084521_20220401T091938,1.3511578438813647,2022-04-01T08:45:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220402T082521_20220402T085820,0.6809874957417071,2022-04-02T08:25:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220403T080521_20220403T084022,0.07771858467617898,2022-04-03T08:05:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220403T081021_20220403T084149,,2022-04-03T08:10:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220404T074521_20220404T082209,-0.37259584480030616,2022-04-04T07:45:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220404T075021_20220404T082246,-0.3614497671281759,2022-04-04T07:50:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220405T073021_20220405T080518,0.30981414946985447,2022-04-05T07:30:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220406T071021_20220406T074824,0.8297070100826082,2022-04-06T07:10:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220406T085021_20220406T092546,1.283411743703093,2022-04-06T08:50:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
