system:index,NO2_Density,date,.geo
20200426T071948_20200426T080253,,2020-04-26T07:19:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200426T072448_20200426T080604,6.961197753611584E-5,2020-04-26T07:24:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200427T070448_20200427T074730,,2020-04-27T07:04:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200427T084448_20200427T092503,7.789934149297651E-5,2020-04-27T08:44:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200428T082448_20200428T090841,6.809526506374967E-5,2020-04-28T08:24:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200429T080448_20200429T084525,7.951726658685986E-5,2020-04-29T08:04:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200429T080948_20200429T084900,,2020-04-29T08:09:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200430T074448_20200430T082717,7.906305196611205E-5,2020-04-30T07:44:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200430T074948_20200430T082831,7.718341999085839E-5,2020-04-30T07:49:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200501T072948_20200501T080839,7.446166343272188E-5,2020-05-01T07:29:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200502T070948_20200502T075229,7.359453566335677E-5,2020-05-02T07:09:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200502T084948_20200502T093245,8.174235256923617E-5,2020-05-02T08:49:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200503T082948_20200503T091127,9.604796959865989E-5,2020-05-03T08:29:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200503T083448_20200503T091634,,2020-05-03T08:34:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200504T080948_20200504T085359,9.076026009766119E-5,2020-05-04T08:09:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200504T081448_20200504T085515,9.378052610755811E-5,2020-05-04T08:14:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200505T075448_20200505T083456,9.804317484635838E-5,2020-05-05T07:54:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200506T073139_20200506T081420,,2020-05-06T07:31:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200506T073639_20200506T081457,8.249453185180712E-5,2020-05-06T07:36:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200507T071639_20200507T075852,8.140695518335688E-5,2020-05-07T07:16:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200507T085639_20200507T093816,,2020-05-07T08:56:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200508T083639_20200508T092214,8.761668442166174E-5,2020-05-08T08:36:34,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200508T084139_20200508T092229,,2020-05-08T08:41:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200509T081639_20200509T085722,8.508309857964279E-5,2020-05-09T08:16:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200509T082139_20200509T085841,,2020-05-09T08:21:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200510T080139_20200510T084221,5.24145089223814E-5,2020-05-10T08:01:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200511T074139_20200511T082041,8.124534945566251E-5,2020-05-11T07:41:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200512T072139_20200512T080438,7.866607895869669E-5,2020-05-12T07:21:34,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200512T090139_20200512T094207,,2020-05-12T09:01:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200513T084139_20200513T092250,8.167337156045634E-5,2020-05-13T08:41:34,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200513T084639_20200513T092624,,2020-05-13T08:46:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200514T082639_20200514T090754,7.88790948030061E-5,2020-05-14T08:26:34,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200515T080639_20200515T084822,9.279821843384023E-5,2020-05-15T08:06:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200516T074639_20200516T083011,8.32367740847391E-5,2020-05-16T07:46:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200517T072639_20200517T081106,8.361447721794852E-5,2020-05-17T07:26:34,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200517T073139_20200517T081200,,2020-05-17T07:31:33,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200518T070818_20200518T075200,8.96697815503815E-5,2020-05-18T07:08:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200518T084818_20200518T093230,9.496890208491472E-5,2020-05-18T08:48:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200518T085318_20200518T093326,,2020-05-18T08:53:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200519T065318_20200519T073629,,2020-05-19T06:53:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200519T083318_20200519T091526,9.754537523158006E-5,2020-05-19T08:33:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200520T081318_20200520T085443,9.476704676453807E-5,2020-05-20T08:13:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200521T075318_20200521T083503,9.573379391144251E-5,2020-05-21T07:53:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200522T073318_20200522T081322,9.575037184832048E-5,2020-05-22T07:33:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
